"address","name","balance","spendable","excludableBalance","chain"
0xeEE1d31297B042820349B03027aB3b13a9406184,PopStaking,1684853.4627389135,1684853.4627389135,1684853.4627389135,mainnet
0xb5cb5710044D1074097c17B7535a1cF99cBfb17F,RewardsEscrow,745021.6684340574,745021.6684340574,745021.6684340574,mainnet
0xe8af04AD759Ad790Aa5592f587D3cFB3ecC6A9dA,RewardsDistribution,52408.696919,52408.696919,52408.696919,mainnet
0x0ec6290abb4714ba5f1371647894ce53c6dd673a,DevFunds,46246738.96083841,46246738.96083841,46246738.96083841,mainnet
0x6B1741143D3F2C4f1EdA12e19e9518489DF03e04,DaoAgentV2,0,0,0,mainnet
0x50a7c5a2aa566eb8aafc80ffc62e984bfece334f,TokenManager,1203551.1540975797,1203551.1540975797,1203551.1540975797,mainnet
0x9fEE77D8B5050A55c16D0446E6eAb06a6A24cd06,PopUsdcUniV3Pool,510322.2951509686,510322.2951509686,510322.2951509686,mainnet
0x58db57f59dfeb70d69b9b448ff50d89b3c0a2c5f,AirdropAddress,419999.1271189959,419999.1271189959,419999.1271189959,mainnet
0xa57d3ab52b6880bc74c0ce1ae14919b1e709c260,PopstarsAddress,0,0,0,mainnet
0x50c8194cad3c7b19b0d220385c51e70024f63543,PartnersAdvisors,1105000,1105000,1105000,mainnet
0xe8af04AD759Ad790Aa5592f587D3cFB3ecC6A9dA,popStaking,496777.2615655992,496777.2615655992,496777.2615655992,polygon
0xa82cAA79F35f7d6B6f1EC1971878F3474C894565,rewardsEscrow,449693.21131246805,449693.21131246805,449693.21131246805,polygon
0xA50608894E7AdE9216C2fFe14E17c73835CEe0B3,rewardsDistribution,16568.624619000002,16568.624619000002,16568.624619000002,polygon
0xa49731448a1b25d92F3d80f3d3025e4F0fC8d776,daoTreasury,2927864.1733505363,2927864.1733505363,2927864.1733505363,polygon
0x48168536Fc8834A9543C5A4383721148113fF75A,xPopRedemption,160326.85454133298,160326.85454133298,160326.85454133298,polygon
0xfaAddC93baf78e89DCf37bA67943E1bE8F37Bb8c,popStakingArbitrum,0,0,0,arbitrum
0x0C0991CB6e1c8456660A49aa200B71de6158b85C,rewardsEscrowArbitrum,66128.39928629265,66128.39928629265,66128.39928629265,arbitrum
0x6E5fB0B93ac840bE24e768F3D87cCE7503A29488,daoTreasuryArbitrum,4749580,4749580,4749580,arbitrum
0x94f58DC6bF565C6B27De5CAEf3a292dCc3522ebD,xPopRedemptionArbitrum,175546.1,175546.1,175546.1,arbitrum
0x0C0991CB6e1c8456660A49aa200B71de6158b85C,rewardsEscrowBinance,53573.51813229277,53573.51813229277,53573.51813229277,binance
0x94f58DC6bF565C6B27De5CAEf3a292dCc3522ebD,xPopRedemptionBinance,118654.64201119012,118654.64201119012,118654.64201119012,binance
0x0000000000000000000000000000000000000000,,0,0,,mainnet
0xf023e5ef2eb3b8747cbad5b3847813b66e9bfdd7,,0,0,,mainnet
0xbeb7762f3ef3e838d4fa2ebeddbd1e278a430704,,78925.3,78925.3,,mainnet
0x0dab66c5068fec557cf7426ef30aea2836fa5ce0,,80000,80000,,mainnet
0x177927ef5b8995913e95c6c0feb08049c41fbbb7,,99999.99999999999,99999.99999999999,,mainnet
0x9244b5cab2be0a570fa0aa73b4a55c910d4a7209,,423109.2622064112,350909.2622064113,,mainnet
0x28b71e95df5433fd57d8e88e89e1ddea8653acb6,,134000,109777.51284246576,,mainnet
0x298749e23a3cabc3ac1482a8347f6f705412667f,,101641.64,101641.64,,mainnet
0xd1e1f4741a347133172dcf773db4d1a38874d5d4,,0,0,,mainnet
0xea0e217883ed748dba11f253485bf18f4a502387,,250752.43830781587,250752.43830781587,,mainnet
0x34fc290da8437dfb3249bf4f4b2ba3836d16bc69,,410000,410000,,mainnet
0xed9c5b6255004142e8bf8479803a895e8098ef25,,3565007.3941930914,1289524.5489865076,,mainnet
0x4cb6bcf2fef72966d3ee94f7368ae0d0a2ea59cf,,133571.0822120751,133571.0822120751,,mainnet
0x51771112d43326f9cb1b97be4aa74e71dd6ed100,,250244.7850300678,250244.7850300678,,mainnet
0xe2de612838c763e6d12be3e7a2378019dcc69c93,,199999.99999999997,199999.99999999997,,mainnet
0x6be8ef6207b4114a52ae5011fe8846da2af8f281,,3362.5411382589127,3325.428174873538,,mainnet
0x719a363735dfa5023033640197359665072b8c0e,,5000000,4119360.8732876712,,mainnet
0x16e9b2b8a2c92e98fabd8f9b08210f674f570059,,5000,5000,,mainnet
0x483fe53a5b0ed411069123d3d3c1f2bdac41ac2b,,0,0,,mainnet
0x3d4550338857c946248a02a3c6e85bcebe8b2074,,0,0,,mainnet
0xb8de9d65d0746215d72d7eb08b390102afca0aa4,,1.7365e-13,1.7365e-13,,mainnet
0xf30dad5c72c8d546705ed4ab917dbc4bb4afc08e,,2500000,1479971.5325342466,,mainnet
0x991cd50b4bd876d6ac2c8cef245886543dd0e3ea,,24530,1592.8633827054794,,mainnet
0xac7ee366414e7a8d2eaafded80907b9cc3249f81,,350001.19999999995,54813.999657534245,,mainnet
0xda6cf769c1ebd8c41bc97c5539b8d1b34c872b6b,,233333.33000000002,121987.06969793752,,mainnet
0x2e6c471283a88bfbd1a9bce634ac0fd265354e5f,,1133333.33,687948.2854513623,,mainnet
0xf731206f8d8b3e2989af57843b59713c44894013,,0,0,,mainnet
0xe802176cba7da46e0656301483858259c11e1f9b,,166666.66660000003,65805.17976819848,,mainnet
0xa7c26ed08e99891e8cfa0a71b696848a978edd9d,,283333.33,76678.85147293752,,mainnet
0x222462f797927bf6b9b44a0c5980bf117d7960dd,,0,0,,mainnet
0xe781b814fca42e73839f5642b87dc9eeb4cf8453,,250000,250000,,mainnet
0xaeec8cb817d583ed140d2cdeae24e4481bdebd79,,147666.67,42695.591987336484,,mainnet
0xf895a840f4869c36c4bf518c426d6d0df85546f5,,220432.7890216989,9668.715171714304,,mainnet
0x084e8a8cf1c38def1d6db8542a73aa0d54284f8d,,3356819.163457841,3356819.163457841,,mainnet
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,,5964964.251233981,5964964.251233981,,mainnet
0xaa3b1fdc3aa57bf24418e397f8c80e7385aaa594,,411667,123818.98607058458,,mainnet
0xe54c982422ad6298b6f9c0f1d4c25b341a227b70,,0,0,,mainnet
0x4b2a4624006d31e9e500b0124f349c2787e203dd,,0,0,,mainnet
0xe41156404bc90eb16a76b28af3aa6272df19e58d,,99999.99999999999,51555.025684931505,,mainnet
0xa3a7b6f88361f48403514059f1f16c8e78d60eec,,4994520.993766349,4994520.993766349,,mainnet
